Citra,LuasInti,KelilingInti,SolidityInti,GranularityInti,CircularityInti,RerataRInti,RerataGInti,RerataBInti,EntropiInti,EnergiInti,KontrasInti,HomogenitasInti,LuasSitoplasma,KelilingSitoplasma,SoliditySitoplasma,GranularitySitoplasma,CircularitySitoplasma,RerataRSitoplasma,RerataGSitoplasma,RerataBSitoplasma,EntropiSitoplasma,EnergiSitoplasma,KontrasSitoplasma,HomogenitasSitoplasma,LuasNormalInti,KelilingNormalInti,Eccentricity,LIperLP ,KIperKP
Limfoblas,163301,4488,0.322083,108.914566,0.101881,108.278999,2.660602,67.670677,1.484211,0.251403,54.369732,0.808638,189007,6762,0.306378,59.293888,0.051944,17.1612,11.198779,15.200869,0.378619,0.841596,237.830643,0.94553,0.498148,1.951304,0.777343,0.863994,0.663709
Limfoblas,67873,2718,0.320712,107.534103,0.115454,102.630638,3.511477,63.413055,1.442138,0.27063,66.724907,0.809511,85441,6132,0.297324,72.210701,0.028554,26.786718,19.196878,21.842548,0.587819,0.753984,491.352722,0.914822,0.478215,1.795244,0.831555,0.794384,0.443249
Limfoblas,97163,3069,0.330075,105.044075,0.129633,135.054153,2.96699,82.312477,1.685688,0.142714,64.3368,0.766249,102803,3183,0.329687,39.884266,0.127509,7.696898,4.496137,6.247232,0.205449,0.919587,211.439163,0.965006,0.624609,1.944867,0.944942,0.945138,0.964185
Limfoblas,74163,2880,0.327015,90.916359,0.11236,105.975555,2.767091,53.962898,1.567923,0.178496,50.061378,0.777419,88845,4266,0.323047,57.198093,0.061348,20.404007,12.613154,17.299063,0.515515,0.772667,211.412567,0.924331,0.579308,2.011173,0.833314,0.834746,0.675106
Limfoblas,199997,4632,0.327324,111.507469,0.117138,132.304062,3.442453,97.157463,1.51886,0.176372,56.516903,0.808039,234850,5826,0.327198,68.198631,0.086948,22.936378,14.814589,19.997356,0.464202,0.799417,224.906448,0.933804,0.585413,1.981181,0.87751,0.851595,0.795057
Limfoblas,59326,2526,0.324969,108.649658,0.116839,128.470718,3.412995,76.801628,1.637301,0.172277,82.711273,0.771369,72362,2958,0.325735,74.047455,0.103926,28.042349,18.064362,23.852842,0.60005,0.748197,342.811523,0.911779,0.584827,1.982732,0.700231,0.81985,0.853955
Limfoblas,172613,4359,0.328792,111.2686,0.114159,130.855682,3.422339,93.969582,1.555323,0.178402,57.809483,0.80409,183502,4410,0.328936,41.924274,0.11857,8.172111,4.5686,6.856419,0.195866,0.921189,169.695969,0.969615,0.58121,1.999541,0.893352,0.94066,0.988435
Limfoblas,60427,2586,0.325796,112.651222,0.113549,116.973274,4.861207,69.795464,1.528653,0.229721,91.315659,0.797184,71658,3321,0.322048,64.261009,0.081646,20.83913,13.574634,18.41263,0.452279,0.805231,318.149017,0.92957,0.519664,1.895894,0.914161,0.843269,0.778681
Limfoblas,197497,4785,0.326903,108.98085,0.108394,142.807373,5.411449,104.32032,1.770273,0.136941,73.083969,0.746115,209934,5331,0.327939,43.585754,0.092827,8.861838,5.70861,7.633503,0.210131,0.914736,211.703552,0.967744,0.633009,2.139982,0.840128,0.940758,0.89758
Limfoblas,159435,4350,0.313608,110.767967,0.10588,120.841774,3.766224,78.514458,1.550494,0.208452,63.395931,0.807446,170125,4695,0.308362,41.051105,0.096985,7.896541,4.959383,7.064236,0.192311,0.921748,175.621033,0.971904,0.544643,2.002762,0.595285,0.937164,0.926518
Limfoblas,62201,2445,0.329996,110.3125,0.130752,115.816544,5.076822,70.412888,1.532485,0.224685,90.604576,0.797979,67605,2649,0.328748,44.938686,0.121067,9.734185,6.050601,8.661985,0.238549,0.900901,257.436768,0.960879,0.525622,1.774311,0.87676,0.920065,0.92299
Limfoblas,47308,2304,0.328466,109.320763,0.11199,128.065475,6.12304,64.303818,1.654698,0.176306,125.613846,0.765237,51595,2553,0.325473,48.192558,0.099475,11.246595,7.56306,9.987646,0.278693,0.885117,362.170868,0.955086,0.580395,2.017513,0.857576,0.916911,0.902468
Limfoblas,90818,3219,0.327078,114.574356,0.110139,124.357491,6.258935,76.614075,1.593525,0.210128,88.597275,0.793243,100711,3615,0.325262,52.639721,0.096843,13.080252,8.835853,11.441407,0.29136,0.876933,261.591339,0.956929,0.541718,1.965201,0.787402,0.901768,0.890456
Limfoblas,99128,3264,0.32956,109.271423,0.116925,120.850266,5.559433,63.721634,1.595473,0.201665,81.881935,0.788366,105271,3573,0.328647,39.326595,0.103622,7.34739,4.765941,6.164684,0.18677,0.924439,218.971359,0.969551,0.5514,1.924528,0.870766,0.941646,0.913518
Limfoblas,103794,3759,0.321167,113.969452,0.092308,114.689514,6.401478,84.23838,1.513573,0.245743,79.261742,0.790128,128629,5145,0.320262,73.508652,0.061063,27.186981,17.173647,23.360714,0.529489,0.764416,285.085754,0.925911,0.503815,2.069934,0.862289,0.806925,0.730612
Limfoblas,145547,4575,0.322837,110.188599,0.087384,108.346634,1.371477,66.240341,1.375019,0.257476,34.888958,0.828532,177008,6699,0.326283,70.347427,0.049566,23.885477,12.544409,18.234102,0.517321,0.790277,220.191391,0.928272,0.492875,2.104416,0.814756,0.822262,0.682938
Limfoblas,95089,3471,0.322065,110.614723,0.099182,114.84491,4.728556,80.086998,1.544325,0.230591,73.157143,0.7952,105476,4014,0.322684,51.64415,0.082264,12.652797,7.200129,10.946327,0.274744,0.8816,211.937607,0.957634,0.51972,2.025088,0.814318,0.901523,0.864723
Limfoblas,115466,3453,0.328688,108.766632,0.121694,133.628555,1.668508,75.672356,1.611385,0.158905,48.520378,0.781681,128729,4581,0.322033,57.409309,0.077084,15.384239,9.192956,13.241883,0.361861,0.857252,245.999969,0.944649,0.603315,1.973143,0.912537,0.89697,0.753766
Limfoblas,173285,6498,0.320485,108.611092,0.051572,128.44989,3.182327,76.495857,1.610387,0.173601,60.182125,0.787915,199691,6084,0.318508,64.778923,0.067794,20.231003,10.683928,15.227074,0.436535,0.821027,216.315536,0.936193,0.584498,2.983471,0.776061,0.867766,1.068047
